node_code;node_type;wlan_code;x(m);y(m);z(m);central_freq (GHz);channel_bonding_model;primary_channel;min_channel_allowed;max_channel_allowed;tx_power(dBm);cca(dBm);traffic_model;traffic_load[pkt/s];pkt_size[bit];num_pkt_agg;capture_eff_mode;capture_eff_thr;constant_PER;PIFS_activated;CW_adaptation;CW;CW_stage
AP_A;0;A;20;20;0;5.25;4;4;0;7;15.0;-82.0;1;4166.5;12000;64;0;10;0.0;1;1;16;5
STA_A1;1;A;16.4408;18.2475;0;5.25;4;4;0;7;15.0;-82.0;1;4166.5;12000;64;0;10;0.0;1;1;16;5
AP_B;0;B;34.835;28.923;0;5.25;4;3;3;3;15.0;-82.0;1;6665.563704683128;12000;64;0;10;0.0;1;1;16;5
STA_B1;1;B;35.6425;32.0696;0;5.25;4;3;3;3;15.0;-82.0;1;6665.563704683128;12000;64;0;10;0.0;1;1;16;5
AP_C;0;C;4.1798;6.5907;0;5.25;4;4;4;4;15.0;-82.0;1;15522.0073704742;12000;64;0;10;0.0;1;1;16;5
STA_C1;1;C;3.9955;4.4256;0;5.25;4;4;4;4;15.0;-82.0;1;15522.0073704742;12000;64;0;10;0.0;1;1;16;5
AP_D;0;D;8.2122;30.0189;0;5.25;4;1;0;3;15.0;-82.0;1;8537.521817958292;12000;64;0;10;0.0;1;1;16;5
STA_D1;1;D;9.3736;29.238;0;5.25;4;1;0;3;15.0;-82.0;1;8537.521817958292;12000;64;0;10;0.0;1;1;16;5
AP_E;0;E;31.8234;17.1449;0;5.25;0;2;0;7;15.0;-82.0;1;16463.565186349257;12000;64;0;10;0.0;1;1;16;5
STA_E1;1;E;35.1233;18.8234;0;5.25;0;2;0;7;15.0;-82.0;1;16463.565186349257;12000;64;0;10;0.0;1;1;16;5
AP_F;0;F;14.867;10.3696;0;5.25;0;1;0;1;15.0;-82.0;1;10270.75904509896;12000;64;0;10;0.0;1;1;16;5
STA_F1;1;F;12.0377;6.5058;0;5.25;0;1;0;1;15.0;-82.0;1;10270.75904509896;12000;64;0;10;0.0;1;1;16;5
AP_G;0;G;24.354;35.056;0;5.25;0;0;0;7;15.0;-82.0;1;7838.124093006336;12000;64;0;10;0.0;1;1;16;5
STA_G1;1;G;24.8978;37.8741;0;5.25;0;0;0;7;15.0;-82.0;1;7838.124093006336;12000;64;0;10;0.0;1;1;16;5
AP_H;0;H;38.9783;1.1173;0;5.25;0;4;4;5;15.0;-82.0;1;7080.618958773643;12000;64;0;10;0.0;1;1;16;5
STA_H1;1;H;36.3279;-0.7132;0;5.25;0;4;4;5;15.0;-82.0;1;7080.618958773643;12000;64;0;10;0.0;1;1;16;5
AP_I;0;I;26.1695;0.9624;0;5.25;4;4;0;7;15.0;-82.0;1;14773.497979162245;12000;64;0;10;0.0;1;1;16;5
STA_I1;1;I;30.3439;2.0158;0;5.25;4;4;0;7;15.0;-82.0;1;14773.497979162245;12000;64;0;10;0.0;1;1;16;5
AP_J;0;J;38.3336;39.0158;0;5.25;4;4;4;5;15.0;-82.0;1;7268.748740786849;12000;64;0;10;0.0;1;1;16;5
STA_J1;1;J;33.9;37.7373;0;5.25;4;4;4;5;15.0;-82.0;1;7268.748740786849;12000;64;0;10;0.0;1;1;16;5
