node_code;node_type;wlan_code;x(m);y(m);z(m);central_freq (GHz);channel_bonding_model;primary_channel;min_channel_allowed;max_channel_allowed;tx_power(dBm);cca(dBm);traffic_model;traffic_load[pkt/s];pkt_size[bit];num_pkt_agg;capture_eff_mode;capture_eff_thr;constant_PER;PIFS_activated;CW_adaptation;CW;CW_stage
AP_A;0;A;20;20;0;5.25;4;3;0;7;15.0;-82.0;1;833.3;12000;64;0;10;0.0;1;1;16;5
STA_A1;1;A;21.8046;15.8288;0;5.25;4;3;0;7;15.0;-82.0;1;833.3;12000;64;0;10;0.0;1;1;16;5
AP_B;0;B;4.8016;10.7776;0;5.25;4;7;7;7;15.0;-82.0;1;2303.861375010635;12000;64;0;10;0.0;1;1;16;5
STA_B1;1;B;5.8125;6.4195;0;5.25;4;7;7;7;15.0;-82.0;1;2303.861375010635;12000;64;0;10;0.0;1;1;16;5
AP_C;0;C;37.596;35.8414;0;5.25;0;3;0;3;15.0;-82.0;1;13086.46419473489;12000;64;0;10;0.0;1;1;16;5
STA_C1;1;C;38.1957;38.9372;0;5.25;0;3;0;3;15.0;-82.0;1;13086.46419473489;12000;64;0;10;0.0;1;1;16;5
AP_D;0;D;11.3128;29.162;0;5.25;4;7;6;7;15.0;-82.0;1;6754.886804486721;12000;64;0;10;0.0;1;1;16;5
STA_D1;1;D;11.2967;25.4773;0;5.25;4;7;6;7;15.0;-82.0;1;6754.886804486721;12000;64;0;10;0.0;1;1;16;5
AP_E;0;E;31.6335;26.1138;0;5.25;0;7;0;7;15.0;-82.0;1;6384.786708701702;12000;64;0;10;0.0;1;1;16;5
STA_E1;1;E;34.8158;22.3518;0;5.25;0;7;0;7;15.0;-82.0;1;6384.786708701702;12000;64;0;10;0.0;1;1;16;5
AP_F;0;F;24.9672;6.5413;0;5.25;4;0;0;7;15.0;-82.0;1;3792.811682716024;12000;64;0;10;0.0;1;1;16;5
STA_F1;1;F;26.6761;4.7104;0;5.25;4;0;0;7;15.0;-82.0;1;3792.811682716024;12000;64;0;10;0.0;1;1;16;5
AP_G;0;G;3.2879;35.7069;0;5.25;0;4;0;7;15.0;-82.0;1;3549.3887932363905;12000;64;0;10;0.0;1;1;16;5
STA_G1;1;G;7.2874;34.9078;0;5.25;0;4;0;7;15.0;-82.0;1;3549.3887932363905;12000;64;0;10;0.0;1;1;16;5
AP_H;0;H;15.7882;1.1482;0;5.25;4;5;4;5;15.0;-82.0;1;9265.568296417858;12000;64;0;10;0.0;1;1;16;5
STA_H1;1;H;16.1825;-1.3034;0;5.25;4;5;4;5;15.0;-82.0;1;9265.568296417858;12000;64;0;10;0.0;1;1;16;5
AP_I;0;I;23.5378;32.1558;0;5.25;0;7;4;7;15.0;-82.0;1;10092.50374094776;12000;64;0;10;0.0;1;1;16;5
STA_I1;1;I;27.5323;31.5462;0;5.25;0;7;4;7;15.0;-82.0;1;10092.50374094776;12000;64;0;10;0.0;1;1;16;5
AP_J;0;J;38.8658;18.3174;0;5.25;0;3;0;3;15.0;-82.0;1;4565.981427708939;12000;64;0;10;0.0;1;1;16;5
STA_J1;1;J;39.4688;13.4371;0;5.25;0;3;0;3;15.0;-82.0;1;4565.981427708939;12000;64;0;10;0.0;1;1;16;5
