node_code;node_type;wlan_code;x(m);y(m);z(m);central_freq (GHz);channel_bonding_model;primary_channel;min_channel_allowed;max_channel_allowed;tx_power(dBm);cca(dBm);traffic_model;traffic_load[pkt/s];pkt_size[bit];num_pkt_agg;capture_eff_mode;capture_eff_thr;constant_PER;PIFS_activated;CW_adaptation;CW;CW_stage
AP_A;0;A;20;20;0;5.25;4;6;0;7;15.0;-82.0;1;4166.5;12000;64;0;10;0.0;1;1;16;5
STA_A1;1;A;21.9682;18.077;0;5.25;4;6;0;7;15.0;-82.0;1;4166.5;12000;64;0;10;0.0;1;1;16;5
AP_B;0;B;12.9112;29.6427;0;5.25;0;7;0;7;15.0;-82.0;1;10391.321912846077;12000;64;0;10;0.0;1;1;16;5
STA_B1;1;B;16.6447;27.2246;0;5.25;0;7;0;7;15.0;-82.0;1;10391.321912846077;12000;64;0;10;0.0;1;1;16;5
AP_C;0;C;11.6435;10.7543;0;5.25;4;6;4;7;15.0;-82.0;1;9774.582833826915;12000;64;0;10;0.0;1;1;16;5
STA_C1;1;C;14.0974;10.0751;0;5.25;4;6;4;7;15.0;-82.0;1;9774.582833826915;12000;64;0;10;0.0;1;1;16;5
AP_D;0;D;1.7613;17.5302;0;5.25;0;4;4;4;15.0;-82.0;1;8340.024037505984;12000;64;0;10;0.0;1;1;16;5
STA_D1;1;D;-2.3947;14.8535;0;5.25;0;4;4;4;15.0;-82.0;1;8340.024037505984;12000;64;0;10;0.0;1;1;16;5
AP_E;0;E;38.8776;6.3632;0;5.25;4;2;2;2;15.0;-82.0;1;6104.241270686749;12000;64;0;10;0.0;1;1;16;5
STA_E1;1;E;36.3487;10.0386;0;5.25;4;2;2;2;15.0;-82.0;1;6104.241270686749;12000;64;0;10;0.0;1;1;16;5
AP_F;0;F;6.6055;2.0312;0;5.25;4;0;0;7;15.0;-82.0;1;7669.95211127047;12000;64;0;10;0.0;1;1;16;5
STA_F1;1;F;4.3518;-2.0255;0;5.25;4;0;0;7;15.0;-82.0;1;7669.95211127047;12000;64;0;10;0.0;1;1;16;5
AP_G;0;G;33.2243;26.4668;0;5.25;4;7;6;7;15.0;-82.0;1;12861.915879078633;12000;64;0;10;0.0;1;1;16;5
STA_G1;1;G;30.5329;25.4895;0;5.25;4;7;6;7;15.0;-82.0;1;12861.915879078633;12000;64;0;10;0.0;1;1;16;5
AP_H;0;H;16.5434;0.2492;0;5.25;0;6;0;7;15.0;-82.0;1;7097.746308217608;12000;64;0;10;0.0;1;1;16;5
STA_H1;1;H;13.6049;-0.5628;0;5.25;0;6;0;7;15.0;-82.0;1;7097.746308217608;12000;64;0;10;0.0;1;1;16;5
AP_I;0;I;25.8113;35.1516;0;5.25;4;5;4;5;15.0;-82.0;1;12815.701709833138;12000;64;0;10;0.0;1;1;16;5
STA_I1;1;I;22.5305;35.6944;0;5.25;4;5;4;5;15.0;-82.0;1;12815.701709833138;12000;64;0;10;0.0;1;1;16;5
AP_J;0;J;29.5368;13.1019;0;5.25;0;2;0;3;15.0;-82.0;1;8756.896088884601;12000;64;0;10;0.0;1;1;16;5
STA_J1;1;J;33.888;13.5475;0;5.25;0;2;0;3;15.0;-82.0;1;8756.896088884601;12000;64;0;10;0.0;1;1;16;5
